"COMPANY NAME","SECURITY TYPE","ISSUE PRICE","Symbol","ISSUE START DATE","ISSUE END DATE","PRICE RANGE","DATE OF LISTING"
"EMA Partners India Limited","SME",,"EMAIN","17-JAN-2025","21-JAN-2025","124","24-JAN-2025"
"Stallion India Fluorochemicals Limited","BE","    90","STALLION","16-JAN-2025","20-JAN-2025","Rs.85 to Rs.90","23-JAN-2025"
"Kabra Jewels Limited","SME",,"KKJEWELS","15-JAN-2025","17-JAN-2025","128","22-JAN-2025"
"Laxmi Dental Limited","EQ","   428","LAXMIDENTL","13-JAN-2025","15-JAN-2025","Rs.407 to Rs.428","20-JAN-2025"
"Sat Kartar Shopping Limited","SME",,"SATKARTAR","10-JAN-2025","14-JAN-2025","81","17-JAN-2025"
"Barflex Polyfilms Limited","SME",,"BARFLEX","10-JAN-2025","15-JAN-2025","60","20-JAN-2025"
"Quadrant Future Tek Limited","EQ","   290","QUADFUTURE","07-JAN-2025","09-JAN-2025","Rs.275 to Rs.290","14-JAN-2025"
"Capital Infra Trust","IV","    99","CAPINVIT","07-JAN-2025","09-JAN-2025","Rs.99 to Rs.100","17-JAN-2025"
"Delta Autocorp Limited","SME",,"DELTIC","07-JAN-2025","09-JAN-2025","130","14-JAN-2025"
"Standard Glass Lining Technology Limited","EQ","   140","SGLTL","06-JAN-2025","08-JAN-2025","Rs.133 to Rs.140 ","13-JAN-2025"
"Indo Farm Equipment Limited","EQ","   215","INDOFARM","31-DEC-2024","02-JAN-2025","Rs.204 to Rs.215 ","07-JAN-2025"
"Anya Polytech & Fertilizers Limited","SME",,"ANYA","26-DEC-2024","30-DEC-2024","14","02-JAN-2025"
"Unimech Aerospace and Manufacturing Limited","EQ","   785","UNIMECH","23-DEC-2024","26-DEC-2024","Rs.745 to Rs.785 ","31-DEC-2024"
"Ventive Hospitality Limited","EQ","   643","VENTIVE","20-DEC-2024","24-DEC-2024","Rs.610 to Rs.643","30-DEC-2024"
"Carraro India Limited","EQ","   704","CARRARO","20-DEC-2024","24-DEC-2024","Rs.668 to Rs.704 ","30-DEC-2024"
"Senores Pharmaceuticals Limited","EQ","   391","SENORES","20-DEC-2024","24-DEC-2024","Rs.372 to Rs.391","30-DEC-2024"
"Transrail Lighting Limited","EQ","   432","TRANSRAILL","19-DEC-2024","23-DEC-2024","Rs.410 to Rs.432","27-DEC-2024"
"Sanathan Textiles Limited","EQ","   321","SANATHAN","19-DEC-2024","23-DEC-2024","Rs.305 to Rs.321","27-DEC-2024"
"Concord Enviro Systems Limited","EQ","   701","CEWATER","19-DEC-2024","23-DEC-2024","Rs.665 to Rs.701","27-DEC-2024"
"DAM Capital Advisors Limited","EQ","   283","DAMCAPITAL","19-DEC-2024","23-DEC-2024","Rs.269 to Rs.283","27-DEC-2024"
"Mamata Machinery Limited","BE","   243","MAMATA","19-DEC-2024","23-DEC-2024","Rs.230 to Rs.243","27-DEC-2024"
"NewMalayalam Steel Limited","SME",,"NMSTEEL","19-DEC-2024","23-DEC-2024","90","27-DEC-2024"
"Identical Brains Studios Limited","SME",,"IDENTICAL","18-DEC-2024","20-DEC-2024","54","26-DEC-2024"
"International Gemmological Institute (India) Limited","EQ","   417","IGIL","13-DEC-2024","17-DEC-2024","Rs.397 to Rs.417","20-DEC-2024"
"Inventurus Knowledge Solutions Limited","EQ","  1329","IKS","12-DEC-2024","16-DEC-2024","Rs.1265 to Rs.1329","19-DEC-2024"
"Vishal Mega Mart Limited","EQ","    78","VMM","11-DEC-2024","13-DEC-2024","Rs.74 to Rs.78","18-DEC-2024"
"Sai Life Sciences Limited","EQ","   549","SAILIFE","11-DEC-2024","13-DEC-2024","Rs.522 to Rs.549","18-DEC-2024"
"One MobiKwik Systems Limited","EQ","   279","MOBIKWIK","11-DEC-2024","13-DEC-2024","Rs.265 to Rs.279","18-DEC-2024"
"Purple United Sales Limited","SME",,"PURPLEUTED","11-DEC-2024","13-DEC-2024","126","18-DEC-2024"
"Supreme Facility Management Limited","SME",,"SFML","11-DEC-2024","13-DEC-2024","76","18-DEC-2024"
"Sammaan Capital Limited","DEBT","  1000","SCL002","09-DEC-2024","20-DEC-2024","Rs.1000","31-DEC-2024"
"Dhanlaxmi Crop Science Limited","SME",,"DHANLAXMI","09-DEC-2024","11-DEC-2024","55","16-DEC-2024"
"IIFL Home Finance Limited","DEBT","  1000","IHFL01","06-DEC-2024","19-DEC-2024","Rs.1000","30-DEC-2024"
"Emerald Tyre Manufacturers Limited","SME",,"ETML","05-DEC-2024","09-DEC-2024","95","12-DEC-2024"
"Suraksha Diagnostic Limited","EQ","   441","SURAKSHA","29-NOV-2024","03-DEC-2024","Rs.420 to Rs.441","06-DEC-2024"
"Ganesh Infraworld Limited","SME",,"GANESHIN","29-NOV-2024","03-DEC-2024","83","06-DEC-2024"
"Agarwal Toughened Glass India Limited","SME",,"AGARWALTUF","28-NOV-2024","02-DEC-2024","108","05-DEC-2024"
"Abha Power and Steel Limited","SME",,"ABHAPOWER","27-NOV-2024","29-NOV-2024","75","04-DEC-2024"
"Apex Ecotech Limited","SME",,"APEXECO","27-NOV-2024","29-NOV-2024","73","04-DEC-2024"
"C2C Advanced Systems Limited- Withdrawal Window","SME",,"C2CW","26-NOV-2024","29-NOV-2024","-","-"
"Rajputana Biodiesel Limited","SME",,"RAJPUTANA","26-NOV-2024","28-NOV-2024","130","03-DEC-2024"
"Enviro Infra Engineers Limited","EQ","   148","EIEL","22-NOV-2024","26-NOV-2024","Rs.140 to Rs.148","29-NOV-2024"
"C2C Advanced Systems Limited","SME",,"C2C","22-NOV-2024","26-NOV-2024","226","03-DEC-2024"
"Lamosaic India Limited","SME",,"LAMOSAIC","21-NOV-2024","26-NOV-2024","200","29-NOV-2024"
"NTPC Green Energy Limited","EQ","   108","NTPCGREEN","19-NOV-2024","22-NOV-2024","Rs.102 to Rs.108","27-NOV-2024"
"Zinka Logistics Solutions Limited","EQ","   273","BLACKBUCK","13-NOV-2024","18-NOV-2024","Rs.259 to Rs.273","22-NOV-2024"
"ONYX BIOTEC LIMITED","SME",,"ONYX","13-NOV-2024","18-NOV-2024","61","22-NOV-2024"
"Neelam Linens and Garments (India) Limited","SME",,"NEELAM","08-NOV-2024","12-NOV-2024","24","18-NOV-2024"
"Niva Bupa Health Insurance Company Limited","EQ","    74","NIVABUPA","07-NOV-2024","11-NOV-2024","Rs.70 to Rs.74","14-NOV-2024"
"Swiggy Limited","EQ","   390","SWIGGY","06-NOV-2024","08-NOV-2024","Rs.371 to Rs.390","13-NOV-2024"
"ACME Solar Holdings Limited","EQ","   289","ACMESOLAR","06-NOV-2024","08-NOV-2024","Rs.275 to Rs.289","13-NOV-2024"
"Sagility India Limited","EQ","    30","SAGILITY","05-NOV-2024","07-NOV-2024","Rs.28 to Rs.30","12-NOV-2024"
"Afcons Infrastructure Limited","EQ","   463","AFCONS","25-OCT-2024","29-OCT-2024","Rs.440 to Rs.463","04-NOV-2024"
"Usha Financial Services Limited","SME",,"USHAFIN","24-OCT-2024","28-OCT-2024","168","31-OCT-2024"
"Godavari Biorefineries Limited","EQ","   352","GODAVARIB","23-OCT-2024","25-OCT-2024","Rs.334 to Rs.352","30-OCT-2024"
"OBSC Perfection Limited","SME",,"OBSCP","22-OCT-2024","24-OCT-2024","100","29-OCT-2024"
"Danish Power Limited","SME",,"DANISH","22-OCT-2024","24-OCT-2024","380","29-OCT-2024"
"United Heat Transfer Limited","SME",,"UHTL","22-OCT-2024","24-OCT-2024","59","29-OCT-2024"
"Waaree Energies Limited","EQ","  1503","WAAREEENER","21-OCT-2024","23-OCT-2024","Rs.1427 to Rs.1503","28-OCT-2024"
"Deepak Builders & Engineers India Limited","EQ","   203","DBEIL","21-OCT-2024","23-OCT-2024","Rs.192 to Rs.203","28-OCT-2024"
"Premium Plast Limited","SME",,"PREMIUM","21-OCT-2024","23-OCT-2024","49","28-OCT-2024"
"Freshara Agro Exports Limited","SME",,"FRESHARA","17-OCT-2024","21-OCT-2024","116","24-OCT-2024"
"Lakshya Powertech Limited","SME",,"LAKSHYA","16-OCT-2024","18-OCT-2024","180","23-OCT-2024"
"Hyundai Motor India Limited","EQ","  1960","HYUNDAI","15-OCT-2024","17-OCT-2024","Rs.1865 to Rs.1960","22-OCT-2024"
"UGRO Capital Limited","DEBT","  1000","UGROD5","10-OCT-2024","18-OCT-2024","Rs.1000","28-OCT-2024"
"Pranik Logistics Limited","SME",,"PRANIK","10-OCT-2024","14-OCT-2024","77","17-OCT-2024"
"Garuda Construction and Engineering Limited","EQ","    95","GARUDA","08-OCT-2024","10-OCT-2024","Rs.90 to Rs.95","15-OCT-2024"
"Paramount Dye Tec Limited","SME",,"PARAMOUNT","30-SEP-2024","03-OCT-2024","117","08-OCT-2024"
"Saj Hotels Limited","SME",,"SAJHOTELS","27-SEP-2024","01-OCT-2024","65","07-OCT-2024"
"Hvax Technologies Limited","SME",,"HVAX","27-SEP-2024","01-OCT-2024","458","07-OCT-2024"
"Diffusion Engineers Limited","BE","   168","DIFFNKG","26-SEP-2024","30-SEP-2024","Rs.159 to Rs.168","04-OCT-2024"
"Forge Auto International Limited","SME",,"FORGEAUTO","26-SEP-2024","30-SEP-2024","108","04-OCT-2024"
"Sahasra Electronic Solutions Limited","SME",,"SAHASRA","26-SEP-2024","30-SEP-2024","283","04-OCT-2024"
"Divyadhan Recycling Industries Limited","SME",,"DIVYADHAN","26-SEP-2024","30-SEP-2024","64","04-OCT-2024"
"KRN Heat Exchanger and Refrigeration Limited","EQ","   220","KRN","25-SEP-2024","27-SEP-2024","Rs.209 to Rs.220","03-OCT-2024"
"Thinking Hats Entertainment Solutions Limited","SME",,"THESL","25-SEP-2024","27-SEP-2024","44","03-OCT-2024"
"Techera Engineering (India) Limited","SME",,"TECHERA","25-SEP-2024","27-SEP-2024","82","03-OCT-2024"
"Unilex Colours and Chemicals Limited","SME",,"UNILEX","25-SEP-2024","27-SEP-2024","87","03-OCT-2024"
"Manba Finance Limited","BE","   120","MANBA","23-SEP-2024","25-SEP-2024","Rs.114 to Rs.120","30-SEP-2024"
"WOL 3D India Limited","SME",,"WOL3D","23-SEP-2024","25-SEP-2024","150","30-SEP-2024"
"Rappid Valves (India) Limited","SME",,"RAPPID","23-SEP-2024","25-SEP-2024","222","30-SEP-2024"
"Phoenix Overseas Limited","SME",,"PHOGLOBAL","20-SEP-2024","24-SEP-2024","64","27-SEP-2024"
"Bikewo Green Tech Limited","SME",,"BIKEWO","20-SEP-2024","24-SEP-2024","62","27-SEP-2024"
"S D Retail Limited","SME",,"SDREAMS","20-SEP-2024","24-SEP-2024","131","27-SEP-2024"
"Avi Ansh Textile Limited","SME",,"AVIANSH","20-SEP-2024","24-SEP-2024","62","27-SEP-2024"
"Kalana Ispat Limited","SME",,"KALANA","19-SEP-2024","23-SEP-2024","66","26-SEP-2024"
"Paramount Speciality Forgings Limited","SME",,"PSFL","17-SEP-2024","20-SEP-2024","59","25-SEP-2024"
"Arkade Developers Limited","EQ","   128","ARKADE","16-SEP-2024","19-SEP-2024","Rs.121 to Rs.128","24-SEP-2024"
"Northern Arc Capital Limited","EQ","   263","NORTHARC","16-SEP-2024","19-SEP-2024","Rs.249 to Rs.263","24-SEP-2024"
"Osel Devices Limited","SME",,"OSELDEVICE","16-SEP-2024","19-SEP-2024","160","24-SEP-2024"
"Pelatro Limited","SME",,"PELATRO","16-SEP-2024","19-SEP-2024","200","24-SEP-2024"
"Western Carriers (India) Limited","EQ","   172","WCIL","13-SEP-2024","19-SEP-2024","Rs.163 to Rs.172","24-SEP-2024"
"Envirotech Systems Limited","SME",,"ENVIRO","13-SEP-2024","19-SEP-2024","56","24-SEP-2024"
"Deccan Transcon Leasing Limited","SME",,"DECCANTRAN","13-SEP-2024","19-SEP-2024","108","24-SEP-2024"
"Excellent Wires and Packaging Limited","SME",,"EXCELLENT","11-SEP-2024","13-SEP-2024","90","19-SEP-2024"
"Innomet Advanced Materials Limited","SME",,"INNOMET","11-SEP-2024","13-SEP-2024","100","18-SEP-2024"
"P N Gadgil Jewellers Limited","EQ","   480","PNGJL","10-SEP-2024","12-SEP-2024","Rs.456 to Rs.480","17-SEP-2024"
"SPP Polymer Limited","SME",,"SPPPOLY","10-SEP-2024","12-SEP-2024","59","17-SEP-2024"
"Kross Limited","EQ","   240","KROSS","09-SEP-2024","11-SEP-2024","Rs.228 to Rs.240","16-SEP-2024"
"Bajaj Housing Finance Limited","EQ","    70","BAJAJHFL","09-SEP-2024","11-SEP-2024","Rs.66 to Rs.70","16-SEP-2024"
"Tolins Tyres Limited","BE","   226","TOLINS","09-SEP-2024","11-SEP-2024","Rs.215 to Rs.226","16-SEP-2024"
"Gajanand International Limited","SME",,"GAJANAND","09-SEP-2024","11-SEP-2024","36","16-SEP-2024"
"Shubhshree Biofuels Energy Limited","SME",,"SHUBHSHREE","09-SEP-2024","11-SEP-2024","119","16-SEP-2024"
"Aditya Ultra Steel Limited","SME",,"AUSL","09-SEP-2024","11-SEP-2024","62","16-SEP-2024"
"Sammaan Capital Limited","DEBT","  1000","SCL001","06-SEP-2024","19-SEP-2024","Rs.1000","31-DEC-2024"
"Vision Infra Equipment Solutions Limited","SME",,"VIESL","06-SEP-2024","10-SEP-2024","163","13-SEP-2024"
"Shree Tirupati Balajee Agro Trading Company Limited","BE","    83","BALAJEE","05-SEP-2024","09-SEP-2024","Rs.78 to Rs.83","12-SEP-2024"
"My Mudra Fincorp Limited","SME",,"MYMUDRA","05-SEP-2024","09-SEP-2024","110","12-SEP-2024"
"Adani Enterprises Limited","N8","  1000","AEL120924B","04-SEP-2024","06-SEP-2024","Rs.1000","16-SEP-2024"
"Namo eWaste Management Limited","SME",,"NAMOEWASTE","04-SEP-2024","06-SEP-2024","85","11-SEP-2024"
"Gala Precision Engineering Limited","BE","   529","GALAPREC","02-SEP-2024","04-SEP-2024","Rs.503 to Rs.529","09-SEP-2024"
"Jeyyam Global Foods Limited","SME",,"JEYYAM","02-SEP-2024","04-SEP-2024","61","09-SEP-2024"
"Baazar Style Retail Limited","EQ","   389","STYLEBAAZA","30-AUG-2024","03-SEP-2024","Rs.370 to Rs.389","06-SEP-2024"
"Boss Packaging Solutions Limited","SME",,"BOSS","30-AUG-2024","03-SEP-2024","66","06-SEP-2024"
"Ecos (India) Mobility & Hospitality Limited","EQ","   334","ECOSMOBLTY","28-AUG-2024","30-AUG-2024","Rs.318 to Rs.334","04-SEP-2024"
"Aeron Composite Limited","SME",,"AERON","28-AUG-2024","30-AUG-2024","125","04-SEP-2024"
"Premier Energies Limited","EQ","   450","PREMIERENE","27-AUG-2024","29-AUG-2024","Rs.427 to Rs.450","03-SEP-2024"
"Vdeal System Limited","SME",,"VDEAL","27-AUG-2024","29-AUG-2024","112","03-SEP-2024"
"Paramatrix Technologies Limited","SME",,"PARAMATRIX","27-AUG-2024","30-AUG-2024","110","04-SEP-2024"
"Jay Bee Laminations Limited","SME",,"JAYBEE","27-AUG-2024","29-AUG-2024","146","03-SEP-2024"
"Indian Phosphate Limited","SME",,"IPHL","26-AUG-2024","29-AUG-2024","99","03-SEP-2024"
"Orient Technologies Limited","BE","   206","ORIENTTECH","21-AUG-2024","23-AUG-2024","Rs.195 to Rs.206","28-AUG-2024"
"QVC Exports Limited","SME",,"QVCEL","21-AUG-2024","23-AUG-2024","86","28-AUG-2024"
"Ideal Technoplast Industries Limited","SME",,"IDEALTECHO","21-AUG-2024","23-AUG-2024","121","28-AUG-2024"
"Interarch Building Products Limited","EQ","   900","INTERARCH","19-AUG-2024","21-AUG-2024","Rs.850 to Rs.900","26-AUG-2024"
"Brace Port Logistics Limited","SME",,"BRACEPORT","19-AUG-2024","21-AUG-2024","80","26-AUG-2024"
"Forcas Studio Limited","SME",,"FORCAS","19-AUG-2024","21-AUG-2024","80","26-AUG-2024"
"Solve Plastic Products Limited","SME",,"BALCO","13-AUG-2024","16-AUG-2024","91","21-AUG-2024"
"Saraswati Saree Depot Limited","BE","   160","SSDL","12-AUG-2024","14-AUG-2024","Rs.152 to Rs.160","20-AUG-2024"
"Positron Energy Limited","SME",,"POSITRON","12-AUG-2024","14-AUG-2024","250","20-AUG-2024"
"Sunlite Recycling Industries Limited","SME",,"SUNLITE","12-AUG-2024","14-AUG-2024","105","20-AUG-2024"
"Aesthetik Engineers Limited","SME",,"AESTHETIK","08-AUG-2024","12-AUG-2024","58","16-AUG-2024"
"Brainbees Solutions Limited","EQ","   465","FIRSTCRY","06-AUG-2024","08-AUG-2024","Rs.440 to Rs.465","13-AUG-2024"
"Unicommerce eSolutions Limited","EQ","   108","UNIECOM","06-AUG-2024","08-AUG-2024","Rs.102 to Rs.108","13-AUG-2024"
"Ola Electric Mobility Limited","EQ","    76","OLAELEC","02-AUG-2024","06-AUG-2024","Rs.72 to Rs.76","09-AUG-2024"
"Picturepost Studios Limited","SME",,"PPSL","02-AUG-2024","06-AUG-2024","24","09-AUG-2024"
"Ceigall India Limited","EQ","   401","CEIGALL","01-AUG-2024","05-AUG-2024","Rs.380 to Rs.401","08-AUG-2024"
"Dhariwalcorp Limited","SME",,"DHARIWAL","01-AUG-2024","05-AUG-2024","106","08-AUG-2024"
"Utssav CZ Gold Jewels Limited","SME",,"UTSSAV","31-JUL-2024","02-AUG-2024","110","07-AUG-2024"
"Akums Drugs and Pharmaceuticals Limited","EQ","   679","AKUMS","30-JUL-2024","01-AUG-2024","Rs.646 to Rs.679","06-AUG-2024"
"Bulkcorp International Limited","SME",,"BULKCORP","30-JUL-2024","01-AUG-2024","105","06-AUG-2024"
"Sathlokhar Synergys E&C Global Limited","SME",,"SSEGL","30-JUL-2024","01-AUG-2024","140","06-AUG-2024"
"Ashapura Logistics Limited","SME",,"ASHALOG","30-JUL-2024","01-AUG-2024","144","06-AUG-2024"
"Rajputana Industries Limited","SME",,"RAJINDLTD","30-JUL-2024","01-AUG-2024","38","06-AUG-2024"
"S A Tech Software India Limited","SME",,"SATECH","26-JUL-2024","30-JUL-2024","59","02-AUG-2024"
"Esprit Stones Limited","SME",,"ESPRIT","26-JUL-2024","30-JUL-2024","87","02-AUG-2024"
"Trom Industries Limited","SME",,"TROM","25-JUL-2024","29-JUL-2024","115","01-AUG-2024"
"Aprameya Engineering Limited","SME",,"APRAMEYA","25-JUL-2024","29-JUL-2024","58","01-AUG-2024"
"Chetana Education Limited","SME",,"CHETANA","24-JUL-2024","26-JUL-2024","85","31-JUL-2024"
"Manglam Infra and Engineering Limited","SME",,"MIEL","24-JUL-2024","26-JUL-2024","56","31-JUL-2024"
"V L Infraprojects Limited","SME",,"VLINFRA","23-JUL-2024","25-JUL-2024","42","30-JUL-2024"
"RNFI Services Limited","SME",,"RNFI","22-JUL-2024","24-JUL-2024","105","29-JUL-2024"
"SAR Televenture Limited - FPO","SME",,"SARTELEFPO","22-JUL-2024","24-JUL-2024","-","-"
"Sanstar Limited","EQ","    95","SANSTAR","19-JUL-2024","23-JUL-2024","Rs.90 to Rs.95","26-JUL-2024"
"SMC Global Securities Limited","DEBT","-","SMCG01","19-JUL-2024","01-AUG-2024","Rs.1000","-"
"Kataria Industries Limited","SME",,"KATARIA","16-JUL-2024","19-JUL-2024","96","24-JUL-2024"
"Macobs Technologies Limited","SME",,"MACOBSTECH","16-JUL-2024","19-JUL-2024","75","24-JUL-2024"
"Tunwal E-Motors Limited","SME",,"TUNWAL","15-JUL-2024","18-JUL-2024","59","23-JUL-2024"
"Prizor Viztech Limited","SME",,"PRIZOR","12-JUL-2024","16-JUL-2024","87","22-JUL-2024"
"Sati Poly Plast Limited","SME",,"SATIPOLY","12-JUL-2024","16-JUL-2024","130","22-JUL-2024"
"Sahaj Solar Limited","SME",,"SAHAJSOLAR","11-JUL-2024","15-JUL-2024","180","19-JUL-2024"
"Effwa Infra & Research Limited","SME",,"EFFWA","05-JUL-2024","09-JUL-2024","82","12-JUL-2024"
"Ganesh Green Bharat Limited","SME",,"GGBL","05-JUL-2024","09-JUL-2024","190","12-JUL-2024"
"Ambey Laboratories Limited","SME",,"AMBEY","04-JUL-2024","08-JUL-2024","68","11-JUL-2024"
"Emcure Pharmaceuticals Limited","EQ","  1008","EMCURE","03-JUL-2024","05-JUL-2024","Rs.960 to Rs.1008","10-JUL-2024"
"Bansal Wire Industries Limited","EQ","   256","BANSALWIRE","03-JUL-2024","05-JUL-2024","Rs.243 to Rs.256","10-JUL-2024"
"Nephro Care India Limited","SME",,"NEPHROCARE","28-JUN-2024","02-JUL-2024","90","05-JUL-2024"
"Vraj Iron and Steel Limited","BE","   207","VRAJ","26-JUN-2024","28-JUN-2024","Rs.195 to Rs.207","03-JUL-2024"
"Diensten Tech Limited","SME",,"DTL","26-JUN-2024","28-JUN-2024","100","03-JUL-2024"
"Allied Blenders and Distillers Limited","EQ","   281","ABDL","25-JUN-2024","27-JUN-2024","Rs.267 to Rs.281","02-JUL-2024"
"Petro Carbon and Chemicals Limited","SME",,"PCCL","25-JUN-2024","27-JUN-2024","171","02-JUL-2024"
"Divine Power Energy Limited","SME",,"DPEL","25-JUN-2024","27-JUN-2024","40","02-JUL-2024"
"Akiko Global Services Limited","SME",,"AKIKO","25-JUN-2024","27-JUN-2024","77","02-JUL-2024"
"Sylvan Plyboard (India) Limited","SME",,"SYLVANPLY","24-JUN-2024","26-JUN-2024","55","01-JUL-2024"
"Shivalic Power Control Limited","SME",,"SPCL","24-JUN-2024","26-JUN-2024","100","01-JUL-2024"
"Visaman Global Sales Limited","SME",,"VISAMAN","24-JUN-2024","26-JUN-2024","43","01-JUL-2024"
"Mason Infratech Limited","SME",,"MASON","24-JUN-2024","26-JUN-2024","64","01-JUL-2024"
"Stanley Lifestyles Limited","EQ","   369","STANLEY","21-JUN-2024","25-JUN-2024","Rs.351 to Rs.369","28-JUN-2024"
"Medicamen Organics Limited","SME",,"MEDIORG","21-JUN-2024","25-JUN-2024","34","28-JUN-2024"
"Winny Immigration and Education Services Limited","SME",,"WINNY","20-JUN-2024","24-JUN-2024","-","-"
"DEE Development Engineers Limited","EQ","   203","DEEDEV","19-JUN-2024","21-JUN-2024","Rs.193 to Rs.203","26-JUN-2024"
"Akme Fintrade (India) Limited","BE","   120","AFIL","19-JUN-2024","21-JUN-2024","Rs.114 to Rs.120","26-JUN-2024"
"Durlax Top Surface Limited","SME",,"DURLAX","19-JUN-2024","21-JUN-2024","68","26-JUN-2024"
"Falcon Technoprojects India Limited","SME",,"FALCONTECH","19-JUN-2024","21-JUN-2024","92","26-JUN-2024"
"Gp Eco Solutions India Limited","SME",,"GPECO","14-JUN-2024","19-JUN-2024","94","24-JUN-2024"
"Le Travenues Technology Limited","EQ","    93","IXIGO","10-JUN-2024","12-JUN-2024","Rs.88 to Rs.93","18-JUN-2024"
"Kronox Lab SciencesLimited","EQ","   136","KRONOX","03-JUN-2024","05-JUN-2024","Rs.129 to Rs.136","10-JUN-2024"
"IIFL Samasta Finance limited","N9","  1000","960IIFLS26","03-JUN-2024","14-JUN-2024","Rs.1000","25-JUN-2024"
"TBI Corn Limited","SME",,"TBI","31-MAY-2024","04-JUN-2024","94","07-JUN-2024"
"Aimtron Electronics Limited","SME",,"AIMTRON","30-MAY-2024","03-JUN-2024","161","06-JUN-2024"
"Z-Tech (India) Limited","SME",,"ZTECH","29-MAY-2024","31-MAY-2024","110","05-JUN-2024"
"Beacon Trusteeship Limited","SME",,"BEACON","28-MAY-2024","30-MAY-2024","60","04-JUN-2024"
"Vilas Transcore Limited","SME",,"VILAS","27-MAY-2024","29-MAY-2024","147","03-JUN-2024"
"GSM Foils Limited","SME",,"GSMFOILS","24-MAY-2024","28-MAY-2024","32","31-MAY-2024"
"Awfis Space Solutions Limited","EQ","   383","AWFIS","22-MAY-2024","27-MAY-2024","Rs.364 to Rs.383","30-MAY-2024"
"Rulka Electricals Limited","SME",,"RULKA","16-MAY-2024","21-MAY-2024","235","24-MAY-2024"
"HOAC Foods India Limited","SME",,"HOACFOODS","16-MAY-2024","21-MAY-2024","48","24-MAY-2024"
"Go Digit General Insurance Limited","EQ","   272","GODIGIT","15-MAY-2024","17-MAY-2024","Rs.258 to Rs.272","23-MAY-2024"
"Quest Laboratories Limited","SME",,"QUESTLAB","15-MAY-2024","17-MAY-2024","97","23-MAY-2024"
"Indiabulls Housing Finance Limited","DEBT","-","IHFL13","13-MAY-2024","27-MAY-2024","Rs.1000","-"
"Indian Emulsifiers Limited","SME",,"IEML","13-MAY-2024","16-MAY-2024","132","22-MAY-2024"
"Mandeep Auto Industries Limited","SME",,"MANDEEP","13-MAY-2024","15-MAY-2024","67","21-MAY-2024"
"Veritaas Advertising Limited","SME",,"VERITAAS","13-MAY-2024","15-MAY-2024","114","21-MAY-2024"
"Premier Roadlines Limited","SME",,"PRLIND","10-MAY-2024","14-MAY-2024","67","17-MAY-2024"
"ABS Marine Services Limited","SME",,"ABSMARINE","10-MAY-2024","15-MAY-2024","147","21-MAY-2024"
"Energy-Mission Machineries (India) Limited","SME",,"EMMIL","09-MAY-2024","13-MAY-2024","60","16-MAY-2024"
"TBO Tek Limited","EQ","   920","TBOTEK","08-MAY-2024","10-MAY-2024","Rs.875 to Rs.920","15-MAY-2024"
"Aadhar Housing Finance Limited","EQ","   315","AADHARHFC","08-MAY-2024","10-MAY-2024","Rs.300 to Rs.315","15-MAY-2024"
"Silkflex Polymers (India) Limited","SME",,"SILKFLEX","07-MAY-2024","10-MAY-2024","52","15-MAY-2024"
"Indegene Limited","EQ","   452","INDGN","06-MAY-2024","08-MAY-2024","Rs.430 to Rs.452","13-MAY-2024"
"Winsol Engineers Limited","SME",,"WINSOL","06-MAY-2024","09-MAY-2024","75","14-MAY-2024"
"Refractory Shapes Limited","SME",,"REFRACTORY","06-MAY-2024","09-MAY-2024","31","14-MAY-2024"
"Slone Infosystems Limited","SME",,"SLONE","03-MAY-2024","07-MAY-2024","79","10-MAY-2024"
"JNK India Limited","EQ","   415","JNKINDIA","23-APR-2024","25-APR-2024","Rs.395 to Rs.415","30-APR-2024"
"Motilal Oswal Financial Services Limited","N7","  1000","97MOFSL34","23-APR-2024","03-MAY-2024","Rs.1000","13-MAY-2024"
"Vodafone Idea Limited - FPO","EQ","-","IDEAFPO","18-APR-2024","22-APR-2024","Rs.10 to Rs.11","25-APR-2024"
"Grill Splendour Services Limited","SME",,"BIRDYS","15-APR-2024","18-APR-2024","120","23-APR-2024"
"Ramdevbaba Solvent Limited","SME",,"RBS","15-APR-2024","18-APR-2024","85","23-APR-2024"
"Teerth Gopicon Limited","SME",,"TGL","08-APR-2024","10-APR-2024","111","16-APR-2024"
"DCG Cables & Wires Limited","SME",,"DCG","08-APR-2024","10-APR-2024","100","16-APR-2024"
"Bharti Hexacom Limited","EQ","   570","BHARTIHEXA","03-APR-2024","05-APR-2024","Rs.542 to Rs.570","12-APR-2024"
"K2 Infragen Limited","SME",,"K2INFRA","28-MAR-2024","03-APR-2024","119","08-APR-2024"
"Creative Graphics Solutions India Limited","SME",,"CGRAPHICS","28-MAR-2024","04-APR-2024","85","09-APR-2024"
"Aluwind Architectural Limited","SME",,"ALUWIND","28-MAR-2024","04-APR-2024","45","09-APR-2024"
"Yash Optics and Lens Limited","SME",,"YASHOPTICS","27-MAR-2024","03-APR-2024","81","08-APR-2024"
"TAC Infosec Limited","SME",,"TAC","27-MAR-2024","02-APR-2024","106","05-APR-2024"
"Radiowalla Network Limited","SME",,"RADIOWALLA","27-MAR-2024","02-APR-2024","76","05-APR-2024"
"SRM Contractors Limited","BE","   210","SRM","26-MAR-2024","28-MAR-2024","Rs.200 to Rs.210","03-APR-2024"
"Aspire and Innovative Advertising Limited","SME",,"ASPIRE","26-MAR-2024","28-MAR-2024","54","03-APR-2024"
